"10대, 20대, 로맨틱",realyellow,리얼옐로우,https://usercontents-c.styleshare.kr/images/32193471/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Frealyellow.co.kr%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"10대, 캐주얼",hijjoo,하이쭈,https://usercontents-c.styleshare.kr/images/25563091/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fwww.hijjoo.com%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"10대, 20대, 베이직",beginning,프롬비기닝,https://usercontents-c.styleshare.kr/images/32106504/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fwww.beginning.kr%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"10대, 러블리",vinvle,빈블,https://usercontents-c.styleshare.kr/images/32106789/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fvinvle.com%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"10대, 캐주얼",hot_10,핫텐,https://usercontents-c.styleshare.kr/images/32106702/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fhot-10.com%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"20대, 로맨틱",blla,블라,https://usercontents-c.styleshare.kr/images/32602448/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fwww.blla.co.kr%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"10대, 20대, 러블리",loverim,러블림,https://usercontents-c.styleshare.kr/images/32193180/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fwww.loverim.com%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"20대, 30대, 러블리",minsshop,민스샵,https://usercontents-c.styleshare.kr/images/32392662/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fwww.minsshop.com%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"10대, 액세서리",hellogg,개굴샵,https://usercontents-c.styleshare.kr/images/25563113/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fhellogg.com%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
"20대, 30대, 베이직",secretlabel,시크릿라벨,https://usercontents-c.styleshare.kr/images/32193497/original,https://www.stylesha.re/+webview/soho/redirect?region=kr&to=http%3A%2F%2Fwww.secretlabel.co.kr%3Futm_source%3Dstyleshare%26cafe_mkt%3Dstyleshare
